epoch_num;training_accuracy;training_loss;validation_accuracy;validation_loss;elrales
1;0.43078;1.59021;0.5281;1.33227;OFF
2;0.5799;1.21025;0.5982;1.14125;OFF
3;0.62432;1.083;0.6254;1.06815;OFF
4;0.65462;1.01112;0.6436;1.02238;OFF
5;0.67288;0.964519;0.6483;1.00914;OFF
6;0.68692;0.933933;0.6656;0.975889;OFF
7;0.69428;0.912116;0.6664;0.976384;OFF
8;0.70074;0.89807;0.6678;0.95457;OFF
9;0.70462;0.887264;0.6717;0.953772;OFF
10;0.70806;0.88022;0.6748;0.944571;OFF
